Genre,B.Number,Opus,Date,Czech.Title,English.Title,Instrumentation,Remarks
Vocal,146,73,1886,V n‡rodn’m t—nu,In Folk Tone,for voice and piano,collection of Slavonic and Czech folksongs
MENU0:00,,,,,,,
Orchestral,147,72,1887,Slovansk_ tance 2. _ada,"Slavonic Dances, Series II",for orchestra,orchestration of B. 145
Chamber music,148,74,1887,Terceto C dur,Terzetto in C major,for 2 violins and viola,
Chamber music,149,75a,1887,Drobnosti,Miniatures,for 2 violins and viola,4 pieces
Chamber music,150,75,1887,Romantick_ kusy pro housle a klav’r,Romantic Pieces,for violin and piano,"4 pieces, arrangement of B. 149"
Opera,151,14,1887,Kr‡l a uhl’_,King and Charcoal Burner,,Revision of B. 42
Chamber music,152,_,"1865, 1887",Cyp_i_e,Cypresses,"for 2 violins, viola and cello","arrangement of 12 pieces from B. 11 (Nos. 2-4, 6-9, 12, 14, 16-18); original for voice and piano"
Choral,153,86,1887,M_e D dur,Mass in D major,"for soprano, alto, tenor, bass, chorus and organ",1st version; 2nd version B. 175
Choral,154,79,1887,_alm _. 149,Psalm 149,for mixed chorus and orchestra,2nd version of B. 91
Chamber music,155,81,1887,Klav’rn’ kvintet _. 2 A dur,Piano Quintet No. 2 in A major,"for 2 violins, viola, cello and piano",
Piano,156,_,1887,Dv_ perli_ky,2 Little Pearls,for piano,
Vocal,157,82,1887_1888,Vier Lieder,4 Songs on Poems by O. Malybrok-Stieler,for voice and piano,
Piano,158,_,1888,L’stek do pam‡tn’ku,Album Leaf,for piano,
Opera,159,84,1888,Jakob’n,The Jacobin,,3 acts; libretto by Marie _ervinkov‡-Riegrov‡
Vocal,160,83,1888,P’sn_ milostn_,Love Songs,for voice and piano,"8 songs; revision of Cypresses, B. 11"
Piano,161,85,1889,Poetick_ n‡lady,Poetic Tone Poems,for piano,
Chamber music,162,87,1889,Klav’rn’ kvartet _. 2 Es dur,Piano Quartet No. 2 in E_ major,"for violin, viola, cello and piano",
Orchestral,163,88,1889,Symfonie _. 8 G dur,Symphony No. 8 in G major,for orchestra,
Chamber music,164,_,1890,Gavotte,Gavotte,for 3 violins,
Choral,165,89,1890,Requiem,Requiem,"for soprano, alto, tenor, bass, chorus and orchestra",
Chamber music,166,90,1890_1891,Klav’rn’ trio _. 4 e moll ãDumkyÒ,"Piano Trio No. 4 in E minor ""Dumky""","for violin, cello and piano",
Chamber music,167,_,1891,Fanf‡ry,Fanfares,for 4 trumpets and timpani,
Orchestral,168,91,1891,"V p_’rod_, koncertn’ ouvertura",In Nature's Realm,for orchestra,concert overture
Orchestral,169,92,1891,"Karneval, koncertn’ ouvertura",Carnival Overture,for orchestra,concert overture
Chamber music,170,46/2,1891,Slovansk_ tanec e moll pro housle a klav’r,Slavonic Dance in E minor,for violin and piano,arrangement of B. 78 No. 2
Chamber music,171,94,1891,Rondo g moll pro violoncello a klav’r,Rondo in G minor,for cello and piano,
Chamber music,172,"46/3,8",1891,Slovansk_ tance,Slavonic Dances in A and G minor,for cello and piano,arrangement of B. 78 Nos. 3 and 8
Chamber music,173,68/5,1891,Klid,Silent Woods,for cello and piano,"arrangement of No. 5 from Ze _umavy, Op. 68, B. 133; first published under the German title Waldesruhe"
Orchestral,174,93,1892,"Othello, koncertn’ ouvertura",Othello Overture,for orchestra,concert overture
Choral,175,86,1892,M_e D dur,Mass in D major,"for soprano, alto, tenor, bass, chorus and orchestra",2nd version of B. 153
Choral,176,103,1892,Te Deum,Te Deum,"for soprano, bass, chorus and orchestra",
Choral,177,102,1892_1893,Americk_ prapor,The American Flag,,cantata after a poem by Joseph Rodman Drake
Orchestral,178,95,1893,Symfonie _. 9 e moll ãZ nov_ho sv_taÒ,"Symphony No. 9 in E minor ""From the New World""",for orchestra,
Chamber music,179,96,1893,Smy_cov_ kvartet _. 12 F dur ãAmerick_Ò,"String Quartet No. 12 in F major ""American""","for 2 violins, viola and cello",
Chamber music,180,97,1893,Smy_cov_ kvintet _. 3 Es dur ãAmerick_Ò,"String Quintet No. 3 in E_ major ""American""","for 2 violins, 2 violas and cello",
Concertante,181,94,1893,Rondo g moll pro violoncello a orchestr,Rondo in G minor,for cello and orchestra,arrangement for cello and orchestra of B. 171
Concertante,182,68/5,1893,Klid,Silent Woods,for cello and orchestra,"arrangement of No. 5 from Ze _umavy, Op. 68, B. 173"
Chamber music,183,100,1893,Sonatina G dur pro housle a klav’r,Sonatina in G major,for violin and piano,
Piano,184,98,1894,Suita A dur,"Suite in A major ""American""",for piano,also orchestrated
Vocal,185,99,1894,Biblick_ p’sn_,Biblical Songs,for voice and piano,10 songs
Opera,186,64,1894_1895,Dimitrij,Dimitrij,,4 acts; 2nd version of B. 127
Piano,187,101,1894,Humoresky,Humoresques,for piano,8 pieces
Piano,188,_,1894,Dv_ klav’rn’ skladby,2 Piano Pieces,for piano,
Vocal,189,99,1895,Biblick_ p’sn_,Biblical Songs,for voice and orchestra,orchestration of B. 185
Orchestral,190,98b,1895,Suita A dur,"Suite in A major ""American""",for orchestra,orchestration of B. 184
Concertante,191,104,1894_1895,Koncert pro violoncello a orchestr h moll,Cello Concerto in B minor,for cello and orchestra,
Chamber music,192,106,1895,Smy_cov_ kvartet _. 13 G dur,String Quartet No. 13 in G major,"for 2 violins, viola and cello",
Chamber music,193,105,1895,Smy_cov_ kvartet _. 14 As dur,String Quartet No. 14 in A_ major,"for 2 violins, viola and cello",
