Opus.Number,Burghauser.Catalog.Number,Composed.Year,Czech.Title,English.Title,Instrumentation,Premiere.Date,Premiere.Place,Premiere.Performers,Main .Key,Parts.Mvmts,Duration.mins,Genre,Notes
"46/3,8",172,1891,Slovansk_ tance,Slavonic Dances in A and G minor,for cello and piano,,,,,,,Chamber Music,
68/5,173,1891,Klid,Silent Woods,for cello and piano,,,,,,,Chamber Music,
93,174,1892,"Othello, koncertnÍ ouvertura",Othello Overture,Orchestral,,,,,,,Orchestral,
86,175,1892,M_e D dur,Mass in D major,"for soprano, alto, tenor, bass, chorus and orchestra",,,,,,,Choral,
103,176,1892,Te Deum,Te Deum,"for soprano, bass, chorus and orchestra",,,,,,,Choral,
102,177,1892,Americk_ prapor,The American Flag,,,,,,,,Choral,
95,178,1893,Symfonie _. 9 e moll ÜZ nov_ho sv_ta–,"Symphony No. 9 in E minor ""From the New World""",Orchestral,,,,,,,Orchestral,
96,179,1893,Smy_cov_ kvartet _. 12 F dur ÜAmerick_–,"String Quartet No. 12 in F major ""American""","for 2 violins, viola and cello",,,,,,,Chamber Music,
97,180,1893,Smy_cov_ kvintet _. 3 Es dur ÜAmerick_–,"String Quintet No. 3 in E_ major ""American""","for 2 violins, 2 violas and cello",,,,,,,Chamber Music,
94,181,1893,Rondo g moll pro violoncello a orchestr,Rondo in G minor,for cello and orchestra,,,,,,,Concertante,
68/5,182,1893,Klid,Silent Woods,for cello and orchestra,,,,,,,Concertante,
100,183,1893,Sonatina G dur pro housle a klavÍr,Sonatina in G major,for violin and piano,,,,,,,Chamber Music,
98,184,1894,Suita A dur,"Suite in A major ""American""",for piano,,,,,,,Piano,
99,185,1894,Biblick_ pÍsn_,Biblical Songs,for voice and piano,,,,,,,Vocal,
64,186,1894,Dimitrij,Dimitrij,,,,,,,,Opera,
101,187,1894,Humoresky,Humoresques,for piano,,,,,,,Piano,
0,188,1894,Dv_ klavÍrnÍ skladby,2 Piano Pieces,for piano,,,,,,,Piano,
99,189,1895,Biblick_ pÍsn_,Biblical Songs,for voice and orchestra,,,,,,,Vocal,
98b,190,1895,Suita A dur,"Suite in A major ""American""",Orchestral,,,,,,,Orchestral,
104,191,1894,Koncert pro violoncello a orchestr h moll,Cello Concerto in B minor,for cello and orchestra,,,,,,,Concertante,
106,192,1895,Smy_cov_ kvartet _. 13 G dur,String Quartet No. 13 in G major,"for 2 violins, viola and cello",,,,,,,Chamber Music,
105,193,1895,Smy_cov_ kvartet _. 14 As dur,String Quartet No. 14 in A_ major,"for 2 violins, viola and cello",,,,,,,Chamber Music,
0,194,1895,Ukol_bavka,Lullaby,for voice and piano,,,,,,,Vocal,
107,195,1896,VodnÍk,The Water Goblin,Orchestral,,,,,,,Orchestral,
108,196,1896,Polednice,The Noon Witch,Orchestral,,,,,,,Orchestral,
109,197,1896,Zlat_ kolovrat,The Golden Spinning Wheel,Orchestral,,,,,,,Orchestral,
110,198,1896,Holoubek,The Wild Dove,Orchestral,,,,,,,Orchestral,
111,199,1897,PÍse_ bohat_rskˆ,A Hero's Song,Orchestral,,,,,,,Orchestral,
84,200,1897,JakobÍn,The Jacobin,,,,,,,,Opera,
112,201,1898,_ert a Kˆ_a,The Devil and Kate,,,,,,,,Opera,
112,201a,1899,"_ert a Kˆ_a, p_edehra k ope_e",Overture to The Devil and Kate,Orchestral,,,,,,,Orchestral,
113,202,1900,SlavnostnÍ zp_v,Festival Song,for chorus and orchestra,,,,,,,Choral,
114,203,1900,Rusalka,Rusalka,,,,,,,,Opera,
114,203a,1900,"Rusalka, p_edehra k ope_e",Overture to Rusalka,Orchestral,,,,,,,Orchestral,
0,204,1901,Zp_v z Le_etÍnsk_ho kovˆ_e,Song of the Smith of Le_etÍn,for voice and piano,,,,,,,Vocal,
71,205,1901,Svatˆ Ludmila,Saint Ludmila,,,,,,,,Opera,
115,206,1902,Armida,Armida,,,,,,,,Opera,
115,206a,1903,"Armida, p_edehra k ope_e",Overture to Armida,Orchestral,,,,,,,Orchestral,
0,601,1878,Dv_ irsk_ pÍsn_,2 Irish Songs,for male chorus,,,,,,,Choral,
0,605,1894,Old Folks at Home,Old Folks at Home,"for soprano, bass-baritone, chorus and orchestra",,,,,,,Choral,
